time_ps,Li_MSD_A2,Li_MSD_x_A2,Li_MSD_y_A2,Li_MSD_z_A2
0.41000000000000003,0.2094882760990031,0.040818045146099116,0.06394308928796634,0.10472714166493767
0.42,0.18111884887630267,0.05664227523804479,0.040810553465916576,0.08366602017234127
0.43,0.1899962222057694,0.08142270677526875,0.026479992931758536,0.08209352249874215
0.44,0.2215176646944692,0.11200113093112633,0.023089253068025586,0.08642728069531729
0.45,0.21981874185488956,0.11239891016502566,0.025152737455287694,0.08226709423457622
0.46,0.2095772969489517,0.0803597001004132,0.044110963060485425,0.08510663378805312
0.47000000000000003,0.18940064674463156,0.05948308944047719,0.06093270052583566,0.06898485677831871
0.48,0.13987200153856572,0.05040453912018927,0.06226173030367183,0.027205732114704603
0.49,0.13154144278265456,0.044401000435268456,0.07807917389071134,0.009061268456674767
0.5,0.16906122462375325,0.042045948575659194,0.11575572119640215,0.011259554851691915
0.51,0.16483050181955608,0.03982717127111101,0.10632958931506793,0.018673741233377134
0.52,0.17723822575520462,0.055534379815465496,0.0628009047481607,0.058902941191578385
0.53,0.20930977097893735,0.07147143703486991,0.027169544025872277,0.11066878991819518
0.54,0.1973410014964256,0.07069000408415536,0.014241143518970678,0.11240985389329956
0.55,0.1746022093687589,0.08016264415690803,0.025368493301019316,0.0690710719108315
0.56,0.1708109477866463,0.0986841444889066,0.03710306914685373,0.035023734150885937
0.5700000000000001,0.16782189148598578,0.10084849891471055,0.04700787703085213,0.019965515540423095
0.58,0.18142642863214742,0.08149787594011641,0.07822588516112715,0.021702667530903882
0.59,0.21839106749129647,0.07036934850996009,0.10416113663346377,0.04386058234787265
0.6,0.22574136072341552,0.07586135515134003,0.08638194027321773,0.06349806529885778
0.61,0.18805871690918594,0.0728268808501551,0.046727326735117945,0.0685045093239129
0.62,0.13991841481482734,0.059498726440447354,0.020128882252881,0.06029080612149897
0.63,0.1380929244140976,0.06929160648579684,0.014490115937297892,0.05431120199100287
0.64,0.1761478431741107,0.08287335936602243,0.018435034658867092,0.07483944914922118
0.65,0.24601766338353157,0.08020095783769245,0.031040856874778658,0.13477584867106043
0.66,0.311895544549828,0.06528661675782939,0.08208722361695134,0.1645217041750473
0.67,0.37220268601974144,0.060950893723271414,0.16367658595637188,0.14757520634009824
0.68,0.3275589375823942,0.051084787350244985,0.1648795610035052,0.11159458922864397
0.6900000000000001,0.18425938600818714,0.03626774094734896,0.08174029650699398,0.06625134855384424
0.7000000000000001,0.09435464632689365,0.03353576240482686,0.029446043716466017,0.031372840205600785
