# t MSD MSD_a MSD_b MSD_c MSCD
18280 4.356431039804957 1.564229488037481 1.5421660173353682 1.2500355344321683 0.7548228683321802
18520 4.389682339765732 1.579608496006929 1.5529918100324416 1.257082033726333 0.7922447508323668
18760 4.4272860125458475 1.601125459410692 1.5628460942403823 1.2633144588947949 0.783764583343955
19000 4.464584852177072 1.6190805975738967 1.5782511621101039 1.267253092493035 0.7776407648974889
19240 4.490756247076092 1.6301692914052397 1.5929825394058355 1.2676044162650308 0.7799214975142398
19480 4.530063144837403 1.6508569052329067 1.6054745413168425 1.2737316982876714 0.781092164696537
19720 4.56158786853928 1.665314146746583 1.6164880358900642 1.2797856859026433 0.7916149702511021
19960 4.5945368190621965 1.6790348321706166 1.6295863555947927 1.285915631296745 0.8048349662791607
20200 4.630554214779891 1.6950083642376614 1.642797520774166 1.2927483297680968 0.7770302266111226
20440 4.673879675764911 1.7123568065717187 1.6583028199404835 1.3032200492527128 0.7253384363672613
20680 4.711614593695342 1.7303946693654033 1.6729045369499336 1.3083153873800082 0.7160736203091737
20920 4.742666442951118 1.7443730870964644 1.6855917963228793 1.3127015595317855 0.7307993758519612
21160 4.778296587798505 1.7576525352710894 1.701539496410628 1.3191045561167938 0.7680772645054178
21400 4.819866561206587 1.7721946266574766 1.720443514739206 1.3272284198099245 0.8013099364797546
21640 4.855908489986841 1.7846706916140984 1.7370535569756111 1.3341842413971323 0.8151489076420417
21880 4.875005255972305 1.7916650494197357 1.7483174466619562 1.3350227598906321 0.7562235578962179
22120 4.907283334862538 1.7994578441538962 1.769404582355139 1.3384209083534597 0.7763393047088104
22360 4.944461467163243 1.8151761291348552 1.7871754213527904 1.342109916675614 0.768536424529901
22600 4.971517694959339 1.8250030515596771 1.800061674441779 1.3464529689579439 0.7476112204791723
22840 5.001523941374294 1.8394840181706544 1.815423681179273 1.3466162420243575 0.7632230352495076
23080 5.041336161294605 1.8550582957381085 1.8369344820420295 1.34934338351446 0.767250168899379
23320 5.081100982268951 1.8701621303997757 1.8574029411519206 1.3535359107172389 0.7923296267208939
23560 5.1116141901308305 1.8839679431694374 1.871363490904372 1.3562827560570498 0.8270368528526556
